DATA Act Element,SF-133 Line Number,SF-133 Sub-Line Number,USSGL Acct. (via USSGL Crosswalk File),USSGL Account Title,Begin/End,Debit/ Credit,Reimb Flag,Apport Cat,Auth Type Code,Avail Time,BEA Cat,Borrow Source,Fed/NonFed,Year of BA,PY Adj,Reduction Type,TAS Status,Trans. Code,Fund Type,Financing Account Code,Debit,Credit,Addl. Info.
52 - Amount of Budget Authority Appropriated,1900,1500,403200,Estimated Indefinite Contract Authority,E,D/C,,,,,D,,,,,,U,X/K/N,EG/EP/ER/ET,N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1600,403200,Estimated Indefinite Contract Authority,E,D/C,,,,,M,,,,,,U,X/K/N,EG/EP/ER/ET,N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1531,403400,Anticipated Adjustments to Contract Authority,E,D/C,,,,,D,,,,,,U,X/K/N,EG/EP/ER/ET,N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1631,403400,Anticipated Adjustments to Contract Authority,E,D/C,,,,,M,,,,,,U,X/K/N,EG/EP/ER/ET,N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1300,404200,Estimated Indefinite Borrowing Authority,E,D/C,,,,,D,F/P/T,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1400,404200,Estimated Indefinite Borrowing Authority,E,D/C,,,,,M,P/T,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1330,404400,Anticipated Reductions to Borrowing Authority,E,D/C,,,,,D,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1430,404400,Anticipated Reductions to Borrowing Authority,E,D/C,,,,,M,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1152,404700,Anticipated Transfers to the General Fund of the Treasury - Current-Year Authority,E,D/C,,,P,,D,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1252,404700,Anticipated Transfers to the General Fund of the Treasury - Current-Year Authority,E,D/C,,,P,,M,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1430,404700,Anticipated Transfers to the General Fund of the Treasury - Current-Year Authority,E,D/C,,,B,,M,,,,,,U,X/K/N,EP,N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1742,404700,Anticipated Transfers to the General Fund of the Treasury - Current-Year Authority,E,D/C,,,S,,D,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1842,404700,Anticipated Transfers to the General Fund of the Treasury - Current-Year Authority,E,D/C,,,S,,M,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1740,406000,Anticipated Collections From Non-Federal Sources,E,D,D/R,A/B/E,,,D,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1840,406000,Anticipated Collections From Non-Federal Sources,E,D,D/R,A/B/E,,,M,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1740,407000,Anticipated Collections From Federal Sources,E,D,D/R,A/B/E,,,D,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1840,407000,Anticipated Collections From Federal Sources,E,D,D/R,A/B/E,,,M,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1100,411100,Debt Liquidation Appropriations,E,D/C,,,P,,D,,,,X,,U,X/K/N,EG/EP/ER,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1170,411100,Debt Liquidation Appropriations,E,D/C,,,D,,D,,,,X,,U,X/K/N,EG/EP/ER,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1200,411100,Debt Liquidation Appropriations,E,D/C,,,P,,M,,,,X,,U,X/K/N,EG/EP/ER,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1270,411100,Debt Liquidation Appropriations,E,D/C,,,D,,M,,,,X,,U,X/K/N,EG/EP/ER,N,#ERROR!,-,
